LP;Numer kodowy ;Nazwa produktu;odpadki;wartoœæ energetyczna;wartoœæ energetyczna;woda;bia³ko ogó³em;bia³ko zwierzêce;bia³ko roœlinne;t³uszcz;wêglowodany ogó³em;popió³;sk³adniki mineralne;sk³adniki mineralne;sk³adniki mineralne;sk³adniki mineralne;sk³adniki mineralne;sk³adniki mineralne;sk³adniki mineralne;sk³adniki mineralne;sk³adniki mineralne;witaminy;witaminy;witaminy;witaminy;witaminy;witaminy;witaminy;witaminy;witaminy;witaminy;witaminy;witaminy;kwasy t³uszczowe nasycone;kwasy t³uszczowe nasycone;kwasy t³uszczowe nasycone;kwasy t³uszczowe nasycone;kwasy t³uszczowe nasycone;kwasy t³uszczowe nasycone;kwasy t³uszczowe nasycone;kwasy t³uszczowe nasycone;kwasy t³uszczowe nasycone;kwasy t³uszczowe nasycone;kwasy t³uszczowe nasycone;kwasy t³uszczowe nasycone;kwasy t³uszczowe jednonienasycone;kwasy t³uszczowe jednonienasycone;kwasy t³uszczowe jednonienasycone;kwasy t³uszczowe jednonienasycone;kwasy t³uszczowe jednonienasycone;kwasy t³uszczowe jednonienasycone;kwasy t³uszczowe jednonienasycone;kwasy t³uszczowe jednonienasycone;kwasy t³uszczowe wielonienasycone;kwasy t³uszczowe wielonienasycone;kwasy t³uszczowe wielonienasycone;kwasy t³uszczowe wielonienasycone;kwasy t³uszczowe wielonienasycone;kwasy t³uszczowe wielonienasycone;kwasy t³uszczowe wielonienasycone;kwasy t³uszczowe wielonienasycone;kwasy t³uszczowe wielonienasycone;cholesterol;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;wêglowodany;wêglowodany;wêglowodany;wêglowodany;% energii z:;% energii z:;% energii z:
LP;Numer kodowy ;Nazwa produktu;odpadki;wartoœæ energetyczna;wartoœæ energetyczna;woda;bia³ko ogó³em;bia³ko zwierzêce;bia³ko roœlinne;t³uszcz;wêglowodany ogó³em;popió³;sód;potas;wapñ;fosfor;magnez;¿elazo;cynk;miedŸ;mangan;ek.retinolu;retinol;beta-karoten;D;E;tiamina;ryboflawina;niacyna; B6;foliany; B12;C;C 4:0;C 6:0;C 8:0;C 10:0;C 12:0;C 14:0;C 15:0;C 16:0;C 17:0;C 18:0;C 20:0;ogó³em;C 14:1;C 15:1;C 16:1;C 17:1;C 18:1;C 20:1;C 22:1;ogó³em;C 18:2;C 18:3;C 18:4;C 20:3;C 20:4;C 20:5;C 22:5;C 22:6;ogó³em;;izoleucyna;leucyna;lizyna;metionina;cystyna;fenylo-alanina;tyrozyna;treonina;tryptofan;walina;arginina;histydyna;alanina;kwas asparaginowy;kwas glutaminowy;glicyna;prolina;seryna;sacharoza;laktoza;skrobia;b³onnik pokarmowy;bia³ka;t³uszczu;wêglo-wodanów
LP;Numer kodowy ;Nazwa produktu;g;KJ;kcal;g;g;g;g;g;g;g;mg;mg;mg;mg;mg;mg;mg;mg;mg;mcg;mcg;mcg;mcg;mg;mg;mg;mg;mg;mcg;mcg;mg;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;g;g;g;g;;;
19;1.2.1.004;Œmietanka do kawy 9% t³uszczu;0;449;107;83,6;2,8;2,8;0;9;4;0,6;41;128;109;79;11;0,1;0,3;0,02;0;74;65;56;0,1;0,15;0,03;0,138;0,06;0,04;4;0,3;0;0,27;0,17;0,1;0,24;0,3;0,95;0,09;2,21;0,09;0,95;0;5,37;0,12;0,06;0,23;0,1;2,36;0;0;2,87;0,12;0,13;0;0;0;0;0;0;0,25;35;147;248;231;69;25;128;123;115;36;190;87;70;87;199;576;51;267;151;0;4;0;0;11;74;15
20;1.3.1.001;Jogurt naturalny 2% t³uszczu;0;253;60;86,5;4,3;4,3;0;2;6,2;1;63;200;170;122;17;0,1;0,46;0,03;0;16;14;13;0,03;0,03;0,046;0,216;0,14;0,06;10;0,5;1;0,06;0,04;0,02;0,05;0,07;0,21;0,02;0,49;0,02;0,21;0;1,19;0,03;0,01;0,05;0,02;0,52;0;0;0,63;0,03;0,03;0;0;0;0;0;0;0,06;8;225;382;355;105;38;196;189;178;55;294;133;107;132;305;885;79;411;231;1;4,6;0;0;29;29;42
21;1.3.1.002;Jogurt bananowy 1,5% t³uszczu;0;292;70;83,5;3,7;3,6;0,1;1,5;10,4;0,9;48;215;132;97;18;0,2;0,39;0,04;0,08;20;17;16;0,02;0,09;0,044;0,194;0,18;0,1;7,4;0,36;2,1;0,05;0,03;0,02;0,04;0,05;0,16;0,01;0,39;0,01;0,16;0;0,92;0,02;0,01;0,04;0,01;0,4;0;0;0,48;0,03;0,03;0;0;0;0;0;0;0,06;7;187;332;300;90;34;170;166;156;49;241;121;105;122;269;746;71;341;201;3,6;5;0,3;0,2;22;19;59
22;1.3.1.003;Jogurt jagodowy 1,5% t³uszczu;0;261;62;85,2;3,7;3,6;0,1;1,5;8,8;0,8;48;170;134;96;14;0,2;0,42;0,04;0,13;20;17;14;0,02;0,31;0,041;0,183;0,15;0,06;5,4;0,36;2,8;0,05;0,03;0,02;0,04;0,05;0,16;0,01;0,38;0,01;0,16;0;0,91;0,02;0,01;0,04;0,01;0,4;0;0;0,48;0,05;0,05;0;0;0;0;0;0;0,1;7;188;332;297;92;33;170;166;157;47;241;123;96;123;265;755;73;343;200;2,2;5;0;0,4;24;21;55
23;1.3.1.004;Jogurt morelowy 1,5% t³uszczu;0;265;63;85;3,7;3,6;0,1;1,5;8,9;0,9;47;200;133;96;14;0,2;0,38;0,04;0,05;57;17;237;0,01;0,13;0,043;0,185;0,23;0,06;5,3;0,35;1,9;0,04;0,03;0,01;0,04;0,05;0,16;0,01;0,37;0,01;0,16;0;0,88;0,02;0,01;0,04;0,01;0,4;0;0;0,48;0,03;0,02;0;0;0;0;0;0;0,05;6;186;327;299;89;33;168;166;157;47;238;116;96;123;301;743;70;340;201;2,9;5;0;0,3;24;21;55
24;1.3.1.005;Jogurt truskawkowy 1,5% t³uszczu;0;253;60;85,7;3,7;3,6;0,1;1,5;8,2;0,9;47;179;134;97;15;0,2;0,37;0,04;0,05;19;17;11;0,01;0,07;0,043;0,187;0,15;0,06;6,9;0,35;9,9;0,04;0,03;0,01;0,04;0,05;0,16;0,01;0,37;0,01;0,16;0;0,88;0,02;0,01;0,04;0,01;0,4;0;0;0,48;0,04;0,04;0;0;0;0;0;0;0,08;6;186;329;300;89;32;169;168;156;48;239;119;95;123;281;753;71;341;200;2,4;5;0;0,3;25;22;53
25;1.3.1.006;Jogurt wiœniowy 1,5% t³uszczu;0;256;61;85,8;3,7;3,6;0,1;1,5;8,2;0,8;49;182;134;98;15;0,2;0,38;0,04;0,03;24;17;42;0,02;0,07;0,046;0,189;0,17;0,06;5,7;0,36;2,5;0,05;0,03;0,02;0,04;0,05;0,16;0,02;0,38;0,02;0,16;0;0,93;0,02;0,01;0,04;0,02;0,41;0;0;0,5;0,03;0,03;0;0;0;0;0;0;0,06;7;185;325;298;89;32;167;164;154;47;237;116;94;120;325;737;69;340;199;1,7;5,1;0;0,1;24;22;54
26;1.3.1.007;Kefir 2% t³uszczu;0;212;51;89,3;3,4;3,4;0;2;4,7;0,6;38;122;103;74;10;0,1;0,28;0,02;0;16;14;13;0,03;0,03;0,028;0,131;0,09;0,04;5;0,5;0;0,06;0,04;0,02;0,05;0,07;0,21;0,02;0,49;0,02;0,21;0;1,19;0,03;0,01;0,05;0,02;0,52;0;0;0,63;0,03;0,03;0;0;0;0;0;0;0,06;8;211;358;333;98;36;184;138;129;40;213;96;78;96;223;644;58;298;167;0;4,1;0;0;27;35;38
27;1.3.1.008;Maœlanka spo¿ywcza 0,5 % t³uszczu;0;156;37;90,7;3,4;3,4;0;0,5;4,7;0,7;60;150;110;80;13;0,1;0,5;0,01;0;8;7;3;0;0;0,04;0,17;0,1;0,04;3;0,3;0;0,02;0,01;0,01;0,01;0,02;0,05;0,01;0,14;0;0,06;0,01;0,34;0,01;0;0,01;0;0,11;0;0;0,13;0,01;0;0;0;0;0;0;0;0,01;3;202;320;266;77;30;174;128;155;35;238;155;92;119;257;623;71;320;139;0;4,7;0;0;37;12;51
28;1.3.1.009;Napój mleczny jogurtowy;0;344;82;81,1;4;4;0;1,9;12,1;0,9;59;186;158;113;16;0,1;0,43;0,03;0;15;13;12;0,03;0,03;0,043;0,201;0,13;0,06;8,4;0,44;0,9;0,06;0,04;0,02;0,05;0,07;0,2;0,02;0,46;0,02;0,2;0;1,14;0,03;0,01;0,05;0,02;0,48;0;0;0,59;0,03;0,03;0;0;0;0;0;0;0,06;7;209;355;330;98;35;182;176;166;51;273;124;100;123;284;823;73;382;215;7,2;4,3;0;0;20;20;60
