LP;Numer kodowy ;Nazwa produktu;odpadki;wartoœæ energetyczna;wartoœæ energetyczna;woda;bia³ko ogó³em;bia³ko zwierzêce;bia³ko roœlinne;t³uszcz;wêglowodany ogó³em;popió³;sk³adniki mineralne;sk³adniki mineralne;sk³adniki mineralne;sk³adniki mineralne;sk³adniki mineralne;sk³adniki mineralne;sk³adniki mineralne;sk³adniki mineralne;sk³adniki mineralne;witaminy;witaminy;witaminy;witaminy;witaminy;witaminy;witaminy;witaminy;witaminy;witaminy;witaminy;witaminy;kwasy t³uszczowe nasycone;kwasy t³uszczowe nasycone;kwasy t³uszczowe nasycone;kwasy t³uszczowe nasycone;kwasy t³uszczowe nasycone;kwasy t³uszczowe nasycone;kwasy t³uszczowe nasycone;kwasy t³uszczowe nasycone;kwasy t³uszczowe nasycone;kwasy t³uszczowe nasycone;kwasy t³uszczowe nasycone;kwasy t³uszczowe nasycone;kwasy t³uszczowe jednonienasycone;kwasy t³uszczowe jednonienasycone;kwasy t³uszczowe jednonienasycone;kwasy t³uszczowe jednonienasycone;kwasy t³uszczowe jednonienasycone;kwasy t³uszczowe jednonienasycone;kwasy t³uszczowe jednonienasycone;kwasy t³uszczowe jednonienasycone;kwasy t³uszczowe wielonienasycone;kwasy t³uszczowe wielonienasycone;kwasy t³uszczowe wielonienasycone;kwasy t³uszczowe wielonienasycone;kwasy t³uszczowe wielonienasycone;kwasy t³uszczowe wielonienasycone;kwasy t³uszczowe wielonienasycone;kwasy t³uszczowe wielonienasycone;kwasy t³uszczowe wielonienasycone;cholesterol;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;wêglowodany;wêglowodany;wêglowodany;wêglowodany;% energii z:;% energii z:;% energii z:
LP;Numer kodowy ;Nazwa produktu;odpadki;wartoœæ energetyczna;wartoœæ energetyczna;woda;bia³ko ogó³em;bia³ko zwierzêce;bia³ko roœlinne;t³uszcz;wêglowodany ogó³em;popió³;sód;potas;wapñ;fosfor;magnez;¿elazo;cynk;miedŸ;mangan;ek.retinolu;retinol;beta-karoten;D;E;tiamina;ryboflawina;niacyna; B6;foliany; B12;C;C 4:0;C 6:0;C 8:0;C 10:0;C 12:0;C 14:0;C 15:0;C 16:0;C 17:0;C 18:0;C 20:0;ogó³em;C 14:1;C 15:1;C 16:1;C 17:1;C 18:1;C 20:1;C 22:1;ogó³em;C 18:2;C 18:3;C 18:4;C 20:3;C 20:4;C 20:5;C 22:5;C 22:6;ogó³em;;izoleucyna;leucyna;lizyna;metionina;cystyna;fenylo-alanina;tyrozyna;treonina;tryptofan;walina;arginina;histydyna;alanina;kwas asparaginowy;kwas glutaminowy;glicyna;prolina;seryna;sacharoza;laktoza;skrobia;b³onnik pokarmowy;bia³ka;t³uszczu;wêglo-wodanów
LP;Numer kodowy ;Nazwa produktu;g;KJ;kcal;g;g;g;g;g;g;g;mg;mg;mg;mg;mg;mg;mg;mg;mg;mcg;mcg;mcg;mcg;mg;mg;mg;mg;mg;mcg;mcg;mg;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;g;g;g;g;;;
648;20.1.1.022;Zupa owocowa z jab³ek;0;175;42;89,1;0,1;0;0,1;0,1;10,6;0,1;1;38;2;3;1;0,1;0,05;0,01;0,03;1;0;7;0;0,14;0,008;0,007;0,05;0,01;1;0;1,4;0;0;0;0;0;0;0;0,01;0;0;0;0,01;0;0;0;0;0;0;0;0;0,02;0;0;0;0;0;0;0;0,03;0;4;8;8;1;2;3;2;4;2;5;3;3;5;25;14;4;3;5;7,3;0;0,9;0,6;1;2;97
649;20.1.1.023;Zupa pomidorowa;0;48;11;96,3;1;0,6;0,4;0,1;2,1;0,5;22;85;9;10;5;0,3;0,11;0,02;0,04;114;0;685;0;0,2;0,014;0,02;0,32;0,07;4,6;0;2,8;0;0;0;0;0;0;0;0,01;0;0;0;0,02;0;0;0;0;0,01;0;0;0,01;0,03;0,01;0;0;0;0;0;0;0,04;0;25;53;59;11;9;34;18;33;14;38;80;23;91;114;216;31;107;44;0,8;0;0,1;0,5;35;8;57
650;20.1.1.024;Zupa pomidorowa z makaronem;0;145;35;92,7;1,5;1,1;0,4;1,8;3,3;0,7;26;54;10;12;4;0,2;0,1;0,01;0,03;35;16;116;0,06;0,32;0,012;0,02;0,24;0,06;1,5;0,02;1;0,03;0,02;0,01;0,03;0,04;0,11;0,01;0,36;0,01;0,14;0;0,77;0,01;0,01;0,03;0,01;0,61;0;0;0,67;0,2;0,03;0;0;0;0;0;0;0,24;4;42;89;80;20;19;56;29;47;20;61;118;35;126;131;330;44;187;67;0,4;0,2;2,1;0,2;18;46;36
651;20.1.1.025;Zupa pomidorowa z ry¿em;0;155;37;92,1;1,5;1;0,5;1,8;3,9;0,7;25;54;10;13;3;0,2;0,13;0,01;0,05;34;15;116;0,05;0,32;0,011;0,019;0,25;0,06;1,5;0,02;1;0,03;0,02;0,01;0,03;0,04;0,11;0,01;0,36;0,01;0,14;0;0,77;0,01;0,01;0,03;0,01;0,61;0;0;0,67;0,2;0,03;0;0;0;0;0;0;0,23;3;42;89;82;21;18;54;33;47;21;62;125;36;130;136;308;46;176;71;0,4;0,2;2,7;0,2;16;43;41
652;20.1.1.026;Zupa pomidorowa zabielana I;0;73;17;95,3;1,2;0,8;0,4;0,6;2,3;0,6;24;92;15;14;5;0,3;0,13;0,02;0,04;118;3;688;0,01;0,21;0,015;0,027;0,33;0,07;4,7;0,02;2,8;0,01;0,01;0,01;0,01;0,02;0,05;0,01;0,13;0,01;0,05;0;0,31;0,01;0;0,01;0,01;0,13;0;0;0,16;0,04;0,02;0;0;0;0;0;0;0,06;2;35;69;75;14;10;42;26;41;16;50;89;28;100;132;258;35;126;54;0,8;0,2;0,1;0,5;28;30;42
653;20.1.1.027;Zupa pomidorowa zabielana II;0;119;28;94,3;1,3;1;0,3;1,8;1,9;0,7;25;51;10;10;3;0,2;0,09;0,01;0,02;34;15;116;0,05;0,31;0,01;0,018;0,23;0,06;1,1;0,02;1;0,03;0,02;0,01;0,03;0,04;0,11;0,01;0,36;0,01;0,14;0;0,76;0,01;0,01;0,03;0,01;0,6;0;0;0,66;0,19;0,03;0;0;0;0;0;0;0,22;3;33;74;75;16;14;45;24;40;18;50;111;31;119;119;269;37;165;61;0,4;0,2;0,8;0,1;18;56;26
654;20.1.1.028;Zupa selerowa;0;157;38;91,3;1,6;1;0,6;1,8;4,5;0,8;35;121;13;25;7;0,2;0,17;0,02;0,06;20;15;29;0,05;0,3;0,02;0,03;0,43;0,12;3,1;0,02;2;0,03;0,02;0,01;0,03;0,04;0,11;0,01;0,35;0,01;0,14;0;0,76;0,01;0,01;0,03;0,01;0,6;0;0;0,66;0,19;0,03;0;0;0;0;0;0;0,22;3;49;100;92;24;16;63;30;54;24;76;126;36;134;186;283;51;182;74;0,3;0,2;3,1;0,8;17;43;40
655;20.1.1.029;Zupa selerowa z grzankami;0;215;51;87,5;1,8;0,6;1,2;1,9;8,1;0,7;75;104;15;28;8;0,4;0,24;0,04;0,1;111;19;555;0,1;0,7;0,022;0,033;0,36;0,09;7,1;0;2,7;0;0;0,01;0,01;0,02;0,02;0;0,28;0;0,09;0,01;0,44;0;0;0;0;0,81;0,01;0;0,82;0,43;0,05;0;0;0;0;0;0;0,48;0;65;120;77;30;31;79;43;60;22;85;122;41;125;157;402;61;196;83;0,6;0;5,7;1,4;14;33;53
656;20.1.1.030;Zupa szczawiowa;0;166;40;92,3;1,6;1,4;0,2;2,5;2,9;0,7;30;62;31;22;4;0,2;0,15;0,01;0,04;69;24;271;0,08;0,4;0,009;0,058;0,16;0,05;1,5;0,08;1,4;0,04;0,02;0,02;0,04;0,06;0,15;0,01;0,49;0,01;0,2;0;1,05;0,02;0,01;0,03;0,01;0,89;0,01;0;0,97;0,28;0,07;0;0;0;0;0;0;0,35;4;57;112;112;28;18;64;42;54;21;80;110;40;116;126;302;43;195;80;0,6;0,9;1;0,2;16;56;28
657;20.1.1.031;Zupa szpinakowa z ziemniakami;0;166;40;89,4;2,2;1,2;1;0,9;6,6;0,9;33;180;39;38;16;0,6;0,28;0,05;0,1;176;7;1012;0,01;0,34;0,037;0,073;0,53;0,15;19,5;0,07;7;0,03;0,02;0,01;0,02;0,03;0,09;0,01;0,22;0,01;0,09;0;0,53;0,01;0,01;0,02;0,01;0,22;0;0;0,27;0,04;0,04;0;0;0;0;0;0;0,09;3;85;153;149;37;20;96;58;80;33;123;139;63;138;253;397;69;201;105;0,4;0,9;4,1;1;23;20;57
658;20.1.1.032;Zupa z fasoli szparagowej;0;180;43;87,2;2,2;0,8;1,4;0,6;8,9;1,1;124;233;31;37;15;0,9;0,31;0,08;0,16;113;3;655;0,01;0,2;0,036;0,049;0,68;0,15;10,9;0,02;4,9;0,01;0,01;0,01;0,01;0,02;0,05;0,01;0,14;0,01;0,05;0;0,32;0,01;0;0,01;0,01;0,13;0;0;0,16;0,05;0,04;0;0;0;0;0;0;0,09;2;82;145;139;32;23;91;52;88;32;122;140;49;148;335;353;78;178;113;0,4;0,2;5,4;1,8;21;12;67
659;20.1.1.033;Zupa z porów z makaronem;0;244;58;85,2;2,4;0,7;1,7;1,4;10,3;0,7;30;122;20;32;9;0,5;0,31;0,06;0,13;210;14;1174;0,08;0,58;0,037;0,039;0,38;0,1;13,5;0,02;4,2;0;0;0;0;0,01;0,01;0;0,21;0;0,06;0;0,31;0;0;0;0;0,54;0,02;0,01;0,57;0,31;0,04;0;0;0;0;0;0;0,35;4;91;166;110;40;39;112;66;83;31;119;146;55;152;206;546;87;253;98;0,5;0;7,6;1,4;17;21;62
660;20.1.1.034;Zupa z zielonego groszku;0;237;57;83,4;3,2;0,7;2,5;1,2;11,2;1;97;191;24;50;19;0,9;0,49;0,1;0,25;190;11;1073;0,06;0,5;0,057;0,052;0,82;0,13;12,4;0;3,7;0;0;0;0;0,01;0,01;0;0,17;0;0,06;0;0,26;0;0;0;0;0,48;0,01;0;0,49;0,28;0,04;0;0;0;0;0;0;0,32;0;129;223;218;54;26;138;76;134;37;169;293;74;213;407;547;124;199;139;1,9;0;5,6;3,1;23;19;58
661;20.1.1.035;Zupa ziemniaczana;0;161;38;90,2;1,4;0,6;0,8;1,1;6,6;0,7;24;177;8;25;10;0,3;0,18;0,05;0,09;104;11;553;0,06;0,43;0,029;0,026;0,61;0,14;7,8;0;4,3;0;0;0;0;0,01;0,01;0;0,16;0;0,06;0;0,25;0;0;0;0;0,48;0,01;0;0,49;0,24;0,03;0;0;0;0;0;0;0,27;0;45;83;90;19;13;54;28;49;22;73;103;31;107;219;227;46;129;62;0,4;0;5;0,9;15;25;60
662;20.1.1.036;Zupa ziemniaczana ze œmietan¹;0;198;47;89,4;1,5;0,8;0,7;1,9;6,5;0,7;22;151;9;24;8;0,2;0,15;0,03;0,06;21;17;27;0,06;0,31;0,025;0,025;0,53;0,12;4,1;0,02;2,7;0,03;0,02;0,01;0,03;0,04;0,11;0,01;0,37;0,01;0,15;0;0,79;0,01;0,01;0,03;0,01;0,67;0;0;0,73;0,22;0,04;0;0;0;0;0;0;0,26;3;48;92;93;21;16;59;29;51;23;77;109;33;112;210;258;46;155;68;0,2;0,2;5,5;0,5;13;35;52
663;20.1.1.037;¯urek;0;519;124;70,6;2,2;0,2;2;3,1;23,5;0,6;7;276;13;52;17;0,5;0,38;0,07;0,22;15;9;30;0,04;0,12;0,073;0,049;0,94;0,19;8,8;0,03;4,5;0,04;0,02;0,01;0,03;0,04;0,16;0,02;0,65;0,02;0,28;0;1,28;0,03;0,01;0,09;0,02;1,06;0,02;0;1,23;0,23;0,05;0;0;0,01;0;0;0;0,29;6;98;134;121;40;40;111;64;84;30;134;116;52;82;337;435;71;155;98;0,7;0,3;20,1;1,9;7;22;71
664;20.1.1.038;Zupa neapolitañska;0;265;63;86,7;2,2;1,1;1,1;2,6;8,2;0,3;38;42;36;31;5;0,2;0,28;0,02;0,06;69;23;277;0,07;0,33;0,016;0,031;0,13;0,02;5,2;0,1;0,5;0,05;0,03;0,02;0,05;0,06;0,18;0,02;0,52;0,02;0,21;0;1,16;0,02;0,01;0,04;0,02;0,8;0;0;0,9;0,25;0,05;0;0;0;0;0;0;0,3;7;98;169;110;47;34;109;90;74;27;127;82;53;74;146;570;57;228;105;0,2;0,1;7,1;0,5;14;36;50
665;20.1.1.039;Kasza manna na wywarze jarzynowym;0;89;21;95,2;0,5;0;0,5;0,8;3,4;0,1;5;30;4;8;2;0,1;0,07;0,01;0,03;68;7;369;0,01;0,1;0,009;0,008;0,1;0,02;1,9;0;2;0;0,01;0,01;0,02;0,02;0,09;0,01;0,27;0,01;0,08;0;0,52;0,01;0;0,02;0;0,18;0;0;0,21;0,03;0,01;0;0;0;0;0;0;0,04;2;21;33;20;9;11;22;14;18;18;27;25;11;22;42;120;20;41;25;0,2;0;2,7;0,4;10;33;57
666;20.1.2.001;Kasza jêczmienna na mleku;0;263;63;86,2;2,6;2,1;0,5;2,2;8,5;0,5;29;109;78;70;11;0,2;0,27;0,03;0,07;21;18;13;0,02;0,07;0,033;0,117;0,28;0,04;2,6;0,27;0,5;0,07;0,04;0,03;0,05;0,07;0,22;0,02;0,54;0,02;0,22;0;1,28;0,03;0,01;0,05;0,02;0,56;0;0;0,67;0,09;0,03;0;0;0;0;0;0;0,12;8;138;218;221;61;29;120;97;103;32;167;90;66;87;186;537;58;256;136;0,2;3;4,9;0,4;17;31;52
667;20.1.2.002;Kasza manna na mleku;0;278;66;85,4;2,7;2,1;0,6;2,1;9,3;0,5;28;96;76;60;9;0,1;0,26;0,02;0,04;20;18;12;0,02;0,06;0,027;0,109;0,12;0,03;2,7;0,27;0,5;0,06;0,04;0,03;0,05;0,07;0,21;0,02;0,51;0,02;0,22;0;1,23;0,03;0,01;0,05;0,02;0,54;0;0;0,65;0,06;0,03;0;0;0;0;0;0;0,09;8;142;222;221;63;33;124;99;99;54;173;98;70;90;190;563;64;254;144;0,9;2,9;5,3;0,2;16;28;56
668;20.1.2.003;Kluski lane na mleku;0;290;69;85,8;3,6;3,2;0,4;3,1;6,8;0,7;43;129;104;83;11;0,2;0,37;0,02;0,03;35;32;17;0,08;0,11;0,034;0,167;0,11;0,04;4,7;0,42;0,7;0,09;0,05;0,03;0,07;0,1;0,29;0,03;0,78;0,03;0,3;0;1,77;0,03;0,02;0,08;0,03;0,86;0;0;1,01;0,08;0,04;0;0;0;0;0;0;0,12;23;199;307;314;90;40;172;139;138;43;237;133;92;128;260;713;77;320;199;0,2;4;2,5;0,1;21;40;39
669;20.1.2.004;Makaron na mleku;0;276;66;85,8;2,9;2,2;0,7;2,3;8,5;0,5;30;102;78;64;10;0,2;0,28;0,02;0,05;25;23;14;0,03;0,09;0,026;0,118;0,11;0,04;3,3;0,27;0,4;0,07;0,04;0,03;0,05;0,07;0,22;0,02;0,55;0,02;0,22;0;1,29;0,03;0,01;0,05;0,02;0,59;0;0;0,7;0,07;0,03;0;0;0;0;0;0;0,1;11;153;241;228;67;33;138;104;104;34;183;99;73;97;204;649;66;286;141;0,2;3;5,1;0,2;18;31;51
670;20.1.2.005;P³atki owsiane na mleku;0;260;62;86,3;2,7;1,7;1;2,3;8,2;0,5;24;106;68;81;17;0,4;0,42;0,06;0,35;17;15;11;0,02;0,18;0,05;0,104;0,12;0,04;5,4;0,23;0,4;0,05;0,03;0,02;0,04;0,06;0,18;0,02;0,52;0,02;0,19;0;1,14;0,02;0,01;0,04;0,02;0,66;0;0;0,76;0,25;0,03;0;0;0;0;0;0;0,28;7;146;226;201;62;47;125;103;104;35;182;114;66;102;220;543;76;211;137;0,2;2,5;4,9;0,6;18;33;49
671;20.1.2.006;Ry¿ na mleku;0;275;66;85,6;2,7;2,2;0,5;2,1;9,1;0,5;29;99;77;65;9;0,1;0,34;0,03;0,09;21;18;13;0,02;0,08;0,024;0,113;0,13;0,04;3;0,27;0,5;0,07;0,04;0,03;0,05;0,07;0,22;0,02;0,52;0,02;0,22;0;1,26;0,03;0,01;0,05;0,02;0,56;0;0;0,67;0,05;0,03;0;0;0;0;0;0;0,08;8;149;230;229;69;29;127;112;102;34;179;108;70;98;204;526;64;227;144;0,1;3;5,7;0,2;17;28;55
672;20.2.1.001;Dorsz w jarzynach;0;489;117;74;15,6;14,9;0,7;4,9;3,9;1,6;109;439;23;149;33;0,8;0,58;0,09;0,11;320;53;1603;1,2;1,94;0,057;0,068;1,9;0,2;22,7;0,9;7,9;0;0;0,01;0,01;0,06;0,04;0;0,61;0;0,23;0,02;0,98;0;0;0;0;2,23;0;0,01;2,27;1,1;0,14;0;0;0,01;0,04;0;0,06;1,35;45;748;1278;1522;448;193;642;535;734;182;832;926;394;1074;1547;2438;715;637;752;0,8;0;1;1,4;54;37;9
673;20.2.1.002;Filety z dorsza po grecku;0;638;152;72,8;10,6;9,7;0,9;10,8;4,6;1,2;70;338;19;103;25;0,7;0,44;0,08;0,09;194;3;1146;0,59;2,98;0,05;0,051;1,57;0,15;15,1;0,59;7;0;0;0;0;0;0,01;0;0,54;0;0,19;0,05;0,81;0;0;0,01;0;5,75;0,14;0,18;6,08;2,38;0,87;0;0;0,01;0,02;0;0,04;3,32;29;501;854;1020;297;133;436;357;491;123;555;623;265;720;1059;1740;478;445;505;0,6;0;1,7;1,2;28;63;9
674;20.2.1.003;Filety z dorsza sma¿one, panierowane;0;1141;273;48,8;19,1;17,3;1,8;15,8;14,6;1,7;167;404;15;186;36;1,1;0,85;0,1;0,17;25;25;1;1,13;3,92;0,081;0,102;2,54;0,19;20,8;1,12;1;0;0;0;0;0;0,01;0;0,97;0;0,28;0,06;1,37;0;0;0,03;0;8,29;0,19;0,24;8,75;3,38;1,18;0;0;0,01;0,04;0;0,07;4,69;78;915;1556;1723;543;271;808;653;867;223;1016;1092;474;1241;1749;3281;844;894;949;0;0;13,4;1;29;51;20
675;20.2.1.004;Karp w galarecie (z warzywami);0;571;136;67,6;26,1;25,7;0,4;2,9;2,1;1,3;97;295;20;138;16;0,7;0,75;0,08;0,1;186;35;905;2,7;0,49;0,037;0,085;0,77;0,11;17,8;1,15;4,3;0;0;0;0;0;0,03;0;0,42;0;0,09;0;0,54;0;0;0,21;0;0,79;0,04;0,01;1,05;0,23;0,08;0;0,01;0,05;0,04;0;0,04;0,45;58;816;1351;1499;465;138;770;430;798;143;1062;1946;340;2291;2038;3263;4636;2894;1221;0,5;0;0,1;0,9;77;19;4
676;20.2.1.005;Karp z wody (bez warzyw);0;426;102;77,1;16;15,6;0,4;3,7;2;1,2;41;414;21;199;16;0,8;0,9;0,12;0,11;195;34;965;4,32;0,69;0,05;0,057;1,18;0,15;16,8;1,73;7,4;0;0;0;0;0;0,05;0;0,42;0;0,12;0;0,59;0;0;0,32;0;0,9;0,06;0,01;1,29;0,29;0,12;0;0,01;0,09;0,07;0;0,07;0,65;60;833;1268;1269;480;180;581;540;698;203;994;943;340;994;1553;2320;985;958;858;0,5;0;0,1;1;64;32;4
677;20.2.1.006;Kotlet mielony z dorsza;0;1085;259;54,9;14,9;13,6;1,3;17,8;10,9;1,5;144;333;28;149;29;0,8;0,65;0,08;0,12;17;16;3;0,84;4,34;0,065;0,092;1,98;0,15;13,5;0,88;1,3;0,01;0,01;0;0,01;0,01;0,04;0;1,02;0;0,33;0,07;1,55;0,01;0;0,03;0;9,42;0,22;0,28;9,97;3,83;1,37;0;0;0,01;0,03;0;0,05;5,29;54;719;1215;1369;422;203;629;516;676;174;798;857;371;966;1376;2521;649;702;734;0,3;0,6;9;0,7;23;61;16
678;20.2.1.007;Pulpety z dorsza;0;468;112;73;14,2;13;1,2;2,6;8,8;1,4;131;348;17;140;28;0,9;0,64;0,08;0,12;159;29;778;0,85;0,52;0,053;0,073;1,57;0,15;14,2;0,83;3,3;0,01;0,01;0,01;0,03;0,05;0,21;0,02;0,82;0,01;0,18;0;1,36;0,02;0,01;0,05;0;0,6;0;0;0,68;0,14;0,02;0;0;0,01;0,03;0;0,05;0,25;60;686;1160;1311;407;193;599;493;654;166;763;824;354;942;1350;2331;631;632;702;0,5;0;6,8;1,1;51;21;28
679;20.2.1.008;Dorsz z rusztu;0;719;172;66,7;22,1;22;0,1;9,1;0,6;1,5;91;461;17;231;33;0,6;0,65;0,08;0,03;55;38;102;1,28;1,71;0,06;0,065;2,89;0,21;14,4;1,1;7,6;0,01;0,02;0,03;0,08;0,11;0,44;0,06;1,61;0,02;0,49;0,02;2,91;0,03;0;0,11;0,01;3,43;0,09;0,09;3,76;1,07;0,38;0;0;0,01;0,08;0,01;0,15;1,7;73;1068;1821;2216;645;270;907;766;1046;259;1176;1305;561;1533;2175;3377;1016;891;1068;0;0;0;0,2;52;47;1
680;20.2.1.009;£osoœ sma¿ony saute;0;1589;380;42,3;21,1;20,6;0,5;31,4;4,1;1,1;53;391;15;279;31;1,1;0,86;0,07;0,03;70;68;15;13,49;5,38;0,203;0,18;7,78;0,85;23,3;4,6;1;0,01;0,02;0,03;0,08;0,11;1,3;0,06;3,74;0,02;1;0,06;6,48;0,03;0;0,93;0,01;11,38;0,85;1,35;14,56;3,52;1,69;0,2;0;0,31;0,74;0,46;2,23;9,15;84;1051;1614;1815;633;277;838;649;1004;236;1260;1206;601;1503;1998;3062;1470;957;925;0;0;3,9;0,1;23;73;4
681;20.2.1.010;£osoœ z rusztu;0;1184;283;55,3;20,7;20,6;0,1;22,3;0,6;1,1;54;403;19;278;32;1,2;0,85;0,08;0,03;85;68;102;13,49;3,28;0,202;0,184;7,79;0,85;23,8;4,6;6,2;0,01;0,02;0,03;0,08;0,11;1,3;0,06;3,32;0,02;0,84;0,02;5,83;0,03;0;0,92;0,01;6,43;0,73;1,2;9,33;1,51;0,95;0,2;0;0,31;0,74;0,46;2,23;6,4;84;1039;1585;1817;625;260;818;645;994;234;1245;1192;591;1497;1995;2896;1459;902;906;0;0;0;0,2;30;69;1
682;20.3.1.001;Cielêcina w potrawce;0;432;103;77,6;13,5;12,9;0,6;4;4;0,9;60;262;15;137;16;1,2;2,12;0,18;0,08;180;42;826;0,28;0,98;0,08;0,185;3,96;0,22;9,1;0,82;2,7;0;0;0;0;0,03;0,07;0;0,61;0;0,29;0,01;1,02;0;0;0,07;0;1,73;0;0,01;1,81;0,66;0,08;0;0;0,02;0;0,01;0;0,77;45;699;1101;1128;350;127;568;487;584;154;729;909;465;839;1296;2069;745;660;590;0,5;0;2,3;0,8;53;34;13
683;20.3.1.002;Klopsiki cielêce mielone;0;1047;250;53,6;16,2;14,7;1,5;14,6;14,3;1,3;145;286;57;185;23;1,5;2,41;0,2;0,14;58;55;15;0,23;2,49;0,1;0,266;3,97;0,22;9,9;1,03;0,4;0,03;0,03;0,02;0,07;0,1;0,46;0,05;2,05;0,03;0,67;0,04;3,58;0,04;0,01;0,17;0,01;6,46;0,12;0,15;6,96;2,26;0,77;0;0;0,02;0;0,01;0;3,06;70;840;1321;1289;415;176;702;592;680;187;892;1016;529;932;1445;2716;812;912;744;0,2;1,7;11,4;0,7;26;52;22
684;20.3.1.003;Kotlet cielêcy panierowany;0;1524;364;32,6;27,1;24,9;2,1;21,3;17,4;1,6;206;526;23;288;27;4,1;2,93;0,35;0,24;80;78;14;0,53;3,78;0,173;0,537;7,54;0,17;14,2;1,69;0;0,01;0,02;0,02;0,06;0,11;0,53;0,05;2,83;0,03;0,96;0,06;4,72;0,03;0,01;0,26;0,01;9,74;0,19;0,23;10,47;3,44;1,15;0;0;0,05;0,01;0,01;0,01;4,67;124;1399;2204;2147;699;289;1161;980;1152;300;1466;1775;905;1628;2466;4443;1447;1412;1227;0;0;15,9;1,2;30;52;18
685;20.3.1.004;Pieczeñ cielêca duszona;0;804;192;65,3;20,1;19,9;0,2;11,8;1,7;1,1;89;406;13;201;16;2,9;2,08;0,26;0,04;59;27;194;0,3;2,46;0,111;0,402;6,11;0,11;4;1,3;0,2;0;0;0;0;0,01;0,09;0;1;0;0,47;0,04;1,65;0;0;0,14;0;5,99;0,13;0,15;6,41;2,16;0,76;0;0;0,04;0,01;0,01;0,01;2,99;71;1051;1649;1712;526;181;846;735;876;222;1087;1371;701;1261;1925;2994;1122;963;880;0,1;0;1,3;0,2;43;54;3
686;20.3.2.001;Kotlet mielony z kury;0;1598;382;36,8;19,9;18,3;1,6;27,8;14,3;1,2;157;342;42;207;25;2,1;1,68;0,09;0,15;98;93;30;1,52;2,37;0,097;0,221;4,91;0,39;15,3;0,52;0,2;0,03;0,04;0,05;0,13;0,2;0,94;0,11;5,34;0,1;1,43;0,11;8,51;0,08;0,02;0,72;0,05;10,64;0,18;0,14;11,83;4,16;0,65;0;0;0,01;0;0;0,1;4,93;134;918;1545;1582;579;222;794;664;896;239;1006;1265;559;1191;1865;3386;1197;1132;859;0,2;0,9;12,3;0,7;21;64;15
687;20.3.2.002;Kura w galarecie;0;805;192;61,7;27,3;27,1;0,2;8,9;1,2;0,9;65;238;14;107;17;1,1;0,92;0,05;0,06;79;5;443;0,87;0,45;0,04;0,115;2,55;0,25;8,8;0,2;2;0;0;0,01;0;0;0,05;0,01;1,44;0,02;0,41;0,05;1,99;0,01;0;0,36;0,02;3,48;0,06;0,02;3,95;1,67;0,07;0;0;0,01;0;0;0,07;1,82;50;800;1420;1671;503;124;828;454;879;150;989;2104;450;2391;2189;3563;4780;2881;1123;0,3;0;0,1;0,5;58;41;1
688;20.3.2.003;Kurczak gotowany w jarzynach;0;415;99;80,8;7,6;6,7;0,9;6,4;4,6;0,6;45;235;25;88;16;0,8;0,71;0,06;0,12;287;35;1516;0,72;1,18;0,043;0,09;2,14;0,2;17,5;0,11;7,5;0;0;0,02;0,01;0,04;0,06;0;1,16;0,01;0,35;0,01;1,66;0,01;0;0,21;0,01;2,54;0,04;0,02;2,83;1,34;0,11;0;0;0;0;0;0;1,45;27;407;533;646;201;96;270;246;307;118;449;481;300;474;754;1222;432;355;310;0,7;0;1,6;1,7;31;57;12
689;20.3.2.004;Kurczêta pieczone;0;749;179;70;16,4;16,3;0,1;12,7;0,1;0,8;61;276;12;165;18;1,1;1,2;0,05;0,04;67;58;56;1,6;1,63;0,065;0,164;6,02;0,37;7;0,26;2,1;0;0;0,04;0,01;0,06;0,11;0,01;2,39;0,02;0,71;0,02;3,38;0,02;0;0,51;0,02;4,93;0,09;0,05;5,62;2,6;0,17;0;0;0,01;0;0;0;2,78;66;905;1144;1468;455;202;559;531;659;261;974;1063;680;1043;1562;2537;966;748;642;0;0;0;0,1;37;63;0
690;20.3.2.005;Potrawka z kurczaka;0;620;148;72,3;13,2;12,5;0,7;9;4,7;0,8;56;278;16;140;18;1;1,03;0,06;0,1;222;31;1147;1,04;0,55;0,052;0,125;3,74;0,3;12,3;0,2;3,3;0,01;0,01;0,04;0,05;0,08;0,38;0,04;2,33;0,04;0,61;0,01;3,59;0,04;0,01;0,45;0,02;2,7;0,06;0,03;3,31;1,33;0,08;0;0;0,01;0;0;0;1,42;58;716;919;1143;360;172;458;421;526;206;777;843;535;826;1253;2136;762;626;521;0,6;0;2,7;1;36;54;10
